Household_Id,date,month,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,Usage_Type,Acorn,Acorn_grouped,file,Score,Anomaly,Average_Energy_That_Day,Anomaly Class
MAC000040,26/03/2013,Mar,0.5505,0.767479165,2.2279999,48,0.547930763,36.84,0.329,Fixed,ACORN-A,Affluent,block_2,-0.047139678,-1,13.51,Over
MAC003449,26/10/2013,Oct,0.436,0.76725,2.316,48,0.562011337,36.83,0.321,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,12.94,Over
MAC003065,01/02/2013,Feb,0.657,0.767354173,2.503,48,0.573875431,36.83,0.166,Fixed,ACORN-C,Affluent,block_6,-0.047139678,-1,13.8,Over
MAC004249,29/03/2013,Mar,0.648,0.767333333,2.2349999,48,0.449735204,36.83,0.278,Fixed,ACORN-C,Affluent,block_5,-0.047139678,-1,13.36,Over
MAC003566,26/04/2013,Apr,0.5965,0.767229167,1.786,48,0.362454707,36.83,0.45,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,11.36,Over
MAC004249,05/01/2013,Jan,0.711,0.767333331,1.859,48,0.379557988,36.83,0.186,Fixed,ACORN-C,Affluent,block_5,-0.047139678,-1,11.17,Over
MAC000569,01/07/2013,Jul,0.452,0.767125,2.6170001,48,0.692573148,36.82,0.084,Fixed,ACORN-A,Affluent,block_1,-0.047139678,-1,13.88,Over
MAC003449,26/12/2013,Dec,0.5425,0.767125002,1.735,48,0.576002351,36.82,0.189,Fixed,ACORN-A,Affluent,block_0,-0.047139678,-1,13.68,Over
MAC003634,28/12/2013,Dec,0.6355,0.767104169,1.687,48,0.262559844,36.82,0.577,Dynamic,ACORN-A,Affluent,block_2,-0.047139678,-1,13.95,Over
MAC001836,30/04/2013,Apr,0.572,0.766770842,2.3210001,48,0.592309817,36.81,0.105,Fixed,ACORN-A,Affluent,block_2,-0.045844363,-1,10.98,Over
MAC003061,28/10/2013,Oct,0.6575,0.766812508,2.6559999,48,0.594182388,36.81,0.165,Dynamic,ACORN-C,Affluent,block_5,-0.045844363,-1,13.48,Over
MAC000569,04/09/2013,Sep,0.6575,0.766604169,2.3959999,48,0.496047818,36.8,0.244,Fixed,ACORN-A,Affluent,block_1,-0.045844363,-1,12.87,Over
MAC003903,27/05/2013,May,0.587,0.766541663,2.658,48,0.502763676,36.79,0.216,Dynamic,ACORN-B,Affluent,block_3,-0.0451978,-1,10.67,Over
MAC001710,01/02/2013,Feb,0.73,0.766416669,1.942,48,0.270129276,36.79,0.47,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,13.8,Over
MAC003607,31/01/2013,Jan,0.6775,0.766395833,1.8329999,48,0.333398596,36.79,0.327,Fixed,ACORN-B,Affluent,block_3,-0.0451978,-1,13.03,Over
MAC003566,05/03/2013,Mar,0.719,0.766375002,1.383,48,0.255248367,36.79,0.491,Fixed,ACORN-A,Affluent,block_0,-0.0451978,-1,10.92,Over
MAC003061,13/10/2013,Oct,0.44,0.766354169,4.6760001,48,0.783018079,36.79,0.172,Dynamic,ACORN-C,Affluent,block_5,-0.0451978,-1,13.6,Over
MAC000569,18/10/2013,Oct,0.689,0.766333335,2.3180001,48,0.412986143,36.78,0.293,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,12.64,Over
MAC003607,31/03/2013,Mar,0.65,0.76625,1.8609999,48,0.323028122,36.78,0.395,Fixed,ACORN-B,Affluent,block_3,-0.0451978,-1,13.66,Over
MAC003422,12/07/2013,Jul,0.7655,0.76625,0.814,48,0.022467471,36.78,0.724,Fixed,ACORN-A,Affluent,block_0,-0.0451978,-1,14.39,Over
MAC000379,22/05/2013,May,0.755,0.76597916,1.701,48,0.326683162,36.77,0.284,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,11.79,Over
MAC003566,01/02/2013,Feb,0.58,0.766062502,1.636,48,0.336479423,36.77,0.45,Fixed,ACORN-A,Affluent,block_0,-0.0451978,-1,13.8,Over
MAC000246,02/10/2013,Oct,0.7325,0.766104165,2.687,48,0.657059218,36.77,0.023,Fixed,ACORN-A,Affluent,block_0,-0.0451978,-1,13.96,Over
MAC001734,06/01/2013,Jan,0.688,0.766104163,2.049,48,0.406085946,36.77,0.32,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,11.22,Over
MAC000778,27/12/2013,Dec,0.67,0.766,2.1960001,48,0.524655228,36.77,0.135,Fixed,ACORN-A,Affluent,block_1,-0.0451978,-1,14.58,Over
MAC003388,04/03/2013,Mar,0.4415,0.765812498,2.7219999,48,0.629214321,36.76,0.138,Fixed,ACORN-A,Affluent,block_0,-0.0451978,-1,13.51,Over
MAC003607,14/03/2013,Mar,0.658,0.765895833,1.854,48,0.333757409,36.76,0.406,Fixed,ACORN-B,Affluent,block_3,-0.0451978,-1,13.41,Over
